"sample","aminoglycoside","beta-lactam","macrolide","phenicol","rifampicin","sulphonamide","tetracycline","quinolone","pseudomonicacid","trimethoprim","fosfomycin"
"SRR1187804",2197,1174,1431,394,3,399,910,0,0,0,0
"SRR1819800",16245,35993,9902,1700,3,2977,4053,0,0,0,0
"SRR2075860",57,89,44,22,14,27,30,0,0,0,0
"SRR2075876",97,141,77,0,0,43,23,0,0,0,0
"SRR2075877",207,117,77,12,1,45,48,0,0,0,0
"SRR2075880",158,309,0,46,0,32,0,0,0,0,0
"SRR2075882",173,365,0,0,0,0,84,0,0,0,0
"SRR2075884",218,312,187,0,0,0,95,0,0,0,0
"SRR2075885",82,170,80,0,0,2,35,0,0,0,0
"SRR2075887",253,305,0,141,2,92,78,0,0,0,0
"SRR2075890",123,133,0,0,0,28,45,0,0,0,0
"SRR2075893",155,271,182,0,0,42,72,0,0,0,0
"SRR2075896",38,196,187,0,0,30,0,0,0,0,0
"SRR2075897",227,179,128,36,0,18,74,0,0,0,0
"SRR2075898",77,144,68,34,19,37,38,0,0,0,0
"SRR2075899",93,151,69,19,15,78,38,0,0,0,0
"SRR2075900",268,275,164,0,0,126,100,0,0,0,0
"SRR2075902",41,29,33,0,0,0,14,0,0,0,0
"SRR2075903",40,56,33,12,3,8,8,0,0,0,0
"SRR2075906",89,100,58,21,20,38,12,0,0,0,0
"SRR2075907",125,275,185,24,0,31,14,0,0,0,0
"SRR2075948",203,255,0,32,0,60,46,0,0,0,0
"SRR2075950",145,192,0,2,0,0,60,0,0,0,0
"SRR2075951",225,266,0,36,0,46,0,0,0,0,0
"SRR2911724",2407,1021,0,286,0,211,1390,0,0,0,0
"SRR2911726",3467,420,0,0,0,203,1073,0,0,0,0
"SRR2911739",2694,589,0,323,0,263,1572,0,0,0,0
"SRR2916633",1818,257,203,9,0,117,1,0,0,0,0
"SRR2916634",1603,329,229,7,0,102,1,0,0,0,0
"SRR2916635",1067,240,149,6,0,59,1,0,0,0,0
"SRR2916656",1885,526,415,19,0,131,0,0,0,0,0
"SRR2976831",83,1358,0,0,0,255,69,0,0,0,0
"SRR3057118",891,1245,513,0,0,176,396,0,0,0,0
"SRR3112206",6578,40962,2475,857,3,1922,1500,0,0,0,0
"SRR3130307",573,429,0,0,0,147,220,0,0,0,0
"SRR3130308",341,422,0,2,0,165,237,0,0,0,0
"SRR3130309",101,368,0,0,0,199,298,0,0,0,0
"SRR3130311",676,454,0,0,0,407,176,0,0,0,0
"SRR3131127",803,3337,0,0,0,308,446,0,0,0,0
"SRR3131130",529,1595,1,0,1,255,335,2,0,0,0
"SRR3131131",638,1989,0,0,0,221,336,0,2,0,0
"SRR3131146",196,625,0,0,0,267,1,0,0,0,0
"SRR3131148",301,1190,0,0,0,250,0,0,0,0,0
"SRR3131149",180,1011,0,0,0,260,516,0,0,0,0
"SRR3131150",413,1218,0,0,0,222,6,0,0,0,0
"SRR3131154",282,937,0,0,0,247,1,0,0,0,0
"SRR3131155",226,779,0,0,0,231,0,0,0,0,0
"SRR3131157",1003,539,0,0,0,218,0,0,0,0,0
"SRR3131158",390,266,0,0,0,118,0,0,0,0,0
"SRR3131159",951,1586,0,0,0,223,0,0,0,0,0
"SRR3131162",4716,760,521,15,0,221,0,0,0,0,0
"SRR3131163",1553,550,0,1,0,318,0,0,0,0,0
"SRR3131164",825,551,0,0,0,294,98,0,0,70,0
"SRR3131165",303,452,0,0,0,74,0,0,0,0,0
"SRR3131166",1546,525,0,0,0,40,892,0,0,0,0
"SRR3131167",1029,497,0,0,0,227,0,0,0,0,0
"SRR3131168",308,414,0,0,1,175,288,0,0,0,0
"SRR3131169",869,990,0,0,0,207,0,0,0,0,0
"SRR3131170",1516,573,0,0,0,67,528,0,0,0,0
"SRR3131171",629,530,0,0,0,133,205,0,0,0,0
"SRR3131172",1173,679,2,294,2,329,0,0,0,151,0
"SRR3131173",367,779,0,117,0,308,258,0,0,0,0
"SRR3131208",1383,1205,1793,0,0,522,0,0,0,0,0
"SRR3131209",636,2477,0,0,0,230,697,0,0,1,0
"SRR3131210",699,771,3,0,0,173,0,0,0,0,0
"SRR3131211",465,465,0,0,0,283,420,0,0,0,0
"SRR3131212",741,2296,0,0,0,199,0,0,0,0,0
"SRR3131213",699,1511,2,0,0,249,1,0,0,0,0
"SRR3131214",827,1331,0,0,0,190,0,0,0,0,0
"SRR3131215",836,2224,0,0,0,206,0,0,0,0,1
"SRR3131217",1362,620,0,0,0,213,0,0,0,0,0
"SRR3131219",1288,709,1,0,0,273,280,0,0,180,0
"SRR3131220",1503,583,0,0,0,56,463,0,0,0,0
"SRR3131221",1582,570,1306,0,0,162,0,0,0,0,0
"SRR3131222",1427,621,0,0,0,41,475,0,0,0,0
"SRR3131223",929,380,0,0,0,27,328,0,0,0,0
"SRR3131224",1144,519,0,0,0,25,451,0,0,2,0
"SRR3131225",1463,541,0,0,0,52,507,0,0,0,0
"SRR3131226",801,461,954,0,0,160,0,0,0,0,0
"SRR3131227",652,304,0,0,0,178,118,0,0,140,0
"SRR3131228",1223,511,0,0,0,284,224,0,0,207,0
"SRR3131230",1182,593,411,19,0,156,0,0,0,0,0
"SRR3131234",552,1281,0,190,1,424,341,0,0,0,0
"SRR3131235",432,1143,0,158,0,319,254,0,0,0,0
"SRR3131237",1308,575,1477,0,0,121,0,0,0,0,0
"SRR3131238",1720,608,0,0,0,48,705,0,0,0,0
"SRR3131239",212,615,0,59,0,45,0,0,0,18,0
"SRR3131240",7066,1082,546,22,0,207,3,0,0,0,0
"SRR3133086",584,2257,0,0,0,128,0,0,0,0,0
"SRR3133087",666,3279,0,0,0,176,0,0,0,0,0
"SRR3133089",637,887,0,0,0,192,0,0,0,0,0
"SRR3133091",600,1712,0,0,0,139,0,0,0,0,0
"SRR3133092",533,2534,0,0,0,117,1,0,0,0,0
"SRR3133093",680,2380,0,0,0,148,0,0,0,0,0
"SRR3133096",792,2070,0,0,0,200,0,0,0,0,0
"SRR3133097",655,1706,0,0,0,213,0,0,0,0,0
"SRR3133099",255,2102,0,0,2,185,311,0,0,0,0
"SRR3133100",909,1413,0,0,0,238,2,0,0,0,0
