"sample","NZ_CP045108","NZ_CP045109","NZ_CP045110"
"SRR1187804",9559,3464,2282841
"SRR1819800",29197,347,13359252
"SRR2075860",475,0,73531
"SRR2075876",0,0,121488
"SRR2075877",0,888,123558
"SRR2075880",620,0,151892
"SRR2075882",806,0,229318
"SRR2075884",899,236,225689
"SRR2075885",1638,381,124290
"SRR2075887",731,190,279699
"SRR2075890",206,46,135040
"SRR2075893",683,148,217228
"SRR2075896",1680,404,207472
"SRR2075897",1585,376,204536
"SRR2075898",1502,154,135663
"SRR2075899",1248,79,130872
"SRR2075900",2663,218,357429
"SRR2075902",212,44,38699
"SRR2075903",464,0,49101
"SRR2075906",501,0,78999
"SRR2075907",0,105,124147
"SRR2075948",1635,0,200537
"SRR2075950",608,153,190338
"SRR2075951",393,0,188956
"SRR2911724",5747,1891,681141
"SRR2911726",646,545,664279
"SRR2911739",6324,2011,674725
"SRR2916633",1396,809,304638
"SRR2916634",1334,678,277968
"SRR2916635",667,345,179445
"SRR2916656",2270,945,558469
"SRR2976831",194,520,114405
"SRR3057118",8364,1566,903683
"SRR3112206",35762,607,4153916
"SRR3130307",321,190,590271
"SRR3130308",988,0,544246
"SRR3130309",1210,0,652950
"SRR3130311",0,0,503985
"SRR3131127",2028,1238,1103231
"SRR3131130",790,537,739529
"SRR3131131",863,562,897200
"SRR3131146",1395,1961,842208
"SRR3131148",2139,3057,827085
"SRR3131149",1907,4386,852409
"SRR3131150",7189,3660,757929
"SRR3131154",1590,2525,899358
"SRR3131155",1618,2164,851140
"SRR3131157",2584,1374,609462
"SRR3131158",1252,627,326716
"SRR3131159",1551,0,492676
"SRR3131162",6311,2177,677679
"SRR3131163",0,0,649935
"SRR3131164",3010,1137,572518
"SRR3131165",1250,0,550766
"SRR3131166",1008,911,598730
"SRR3131167",2069,0,601555
"SRR3131168",2625,0,735607
"SRR3131169",0,0,747791
"SRR3131170",718,856,624572
"SRR3131171",0,0,520391
"SRR3131172",2061,574,586561
"SRR3131173",2184,677,625214
"SRR3131208",228,236,525222
"SRR3131209",3887,7086,611290
"SRR3131210",4082,6453,503425
"SRR3131211",0,0,720903
"SRR3131212",4253,6577,578464
"SRR3131213",4295,5237,617054
"SRR3131214",4412,7023,585386
"SRR3131215",4297,6715,629811
"SRR3131217",2937,1153,669224
"SRR3131219",991,257,606194
"SRR3131220",795,736,640266
"SRR3131221",587,267,626611
"SRR3131222",703,747,640087
"SRR3131223",490,549,413245
"SRR3131224",607,606,571958
"SRR3131225",728,845,634468
"SRR3131226",329,206,636698
"SRR3131227",597,155,378633
"SRR3131228",1114,335,620877
"SRR3131230",2146,205,573138
"SRR3131234",4740,1307,918936
"SRR3131235",3903,989,681966
"SRR3131237",504,332,659075
"SRR3131238",837,1074,648361
"SRR3131239",1401,389,628108
"SRR3131240",4677,2620,819626
"SRR3133086",3744,5941,520535
"SRR3133087",4331,6739,541511
"SRR3133089",4620,7427,562244
"SRR3133091",3750,5848,460319
